ETOH_feed,Solvent_flowrate,Solvent_T,Reflux_ratio1,reflux_ratio2,Purity,Q_R1,Q_R2,QC1,QC2,QC3
0.924496667,103.6766667,55.79,1.014166667,0.670833333,0.999974826,8182.40555,2780.69895,-6081.25199,-1551.92724,-2726.44582
0.882463333,95.74333333,59.87,1.7975,2.8175,0.983973793,10730.2163,4262.38912,-8465.24268,-3447.00183,-2460.72934
0.902223333,52.90333333,54.59,1.8675,1.324166667,0.999011535,10062.8971,2741.96919,-8658.78996,-2130.03521,-1403.62022
0.87579,48.37666667,37.23,1.160833333,0.720833333,0.977520206,8039.4997,2089.16688,-6544.48193,-1554.467,-1412.29513
0.865216667,98.03,40.05,0.969166667,1.8425,0.967268109,8581.70623,3393.20713,-5972.27218,-2568.30627,-2821.04067
0.915223333,93.69,52.55,1.840833333,2.7675,0.999952767,10646.1233,4538.96449,-8577.1138,-3489.48671,-2516.2647
0.882636667,89.35,46.45,2.8775,1.780833333,0.984141861,14052.0166,3296.37961,-11733.0363,-2512.10264,-2483.49491
0.825176667,93.13,59.13,2.850833333,1.0325,0.928149508,13941.1957,2639.22367,-11739.6783,-1839.54227,-2400.90116
0.882116667,83.70333333,52.05,1.875833333,2.5775,0.983639042,10820.0098,3986.57423,-8702.67803,-3229.95383,-2254.40606
0.897716667,83.19,55.57,0.544166667,2.6325,0.998658887,6729.72951,4033.33372,-4663.21938,-3279.3706,-2194.62884
0.905083333,53.55666667,46.35,1.485833333,0.535833333,0.999221543,8960.14915,2058.18319,-7506.07495,-1416.3979,-1487.79574
0.81365,87.20333333,34.15,1.0825,2.804166667,0.916798182,8769.2008,4209.02313,-6358.1914,-3434.55736,-2588.63204
0.80403,85.80333333,33.15,1.110833333,0.5625,0.907294271,8839.43276,2176.92267,-6452.74641,-1420.60348,-2548.25447
0.87917,59.85666667,58.69,0.699166667,2.990833333,0.980786475,6695.04623,4219.17031,-5143.9888,-3601.8199,-1549.89698
0.923196667,82.16333333,30.39,1.709166667,1.7675,0.999915114,10216.754,3610.64466,-8179.6282,-2559.32149,-2485.46582
0.915136667,107.7366667,36.95,2.635833333,2.385833333,0.999960414,13594.6226,4274.46921,-10977.3663,-3137.25222,-3152.25206
0.80455,67.27666667,32.39,1.8475,0.6525,0.907808986,10649.0812,2156.17551,-8704.11599,-1495.3955,-2011.21418
0.851176667,51.03666667,49.81,2.860833333,1.984166667,0.953606865,13176.245,3249.19314,-11730.7841,-2693.4882,-1392.51422
0.87605,97.14333333,31.53,2.925833333,2.685833333,0.977772988,14606.9992,4150.08318,-11889.6685,-3328.359,-2921.83953
0.91791,93.08333333,46.81,2.5475,2.515833333,0.999923798,12816.5483,4335.45798,-10710.7261,-3256.10695,-2583.06852
0.84407,97.98333333,37.61,2.2725,2.335833333,0.946668426,12589.9045,3838.13765,-9952.31518,-3012.8681,-2856.7568
0.928136667,98.59,40.53,2.5575,1.2975,0.999948461,12940.9529,3356.15671,-10740.8805,-2121.43912,-2830.18129
0.885496667,73.34333333,33.59,1.579166667,1.2675,0.986902535,9905.48539,2747.72009,-7801.40792,-2048.5153,-2182.31273
0.835663333,97.00333333,57.45,1.999166667,2.1625,0.938441459,11443.4567,3677.25717,-9130.93985,-2856.57247,-2529.76327
0.87111,66.67,52.63,0.774166667,2.184166667,0.972984673,7121.21369,3535.03996,-5376.72932,-2874.43283,-1789.63871
0.809143333,100.41,57.19,1.074166667,2.770833333,0.912349258,8718.71537,4241.5637,-6336.44954,-3405.18774,-2623.14973
0.860016667,51.50333333,41.87,2.785833333,1.189166667,0.962216494,13010.6961,2535.22991,-11489.7407,-1976.55332,-1467.95684
0.864523333,107.55,52.31,2.3425,2.090833333,0.966596588,12776.491,3658.96924,-10138.3147,-2792.77879,-2891.3094
0.845283333,78.29,39.77,2.4575,0.995833333,0.947854136,12649.1061,2530.3064,-10513.29,-1804.6351,-2254.84212
0.848143333,55.05,36.17,2.619166667,1.244166667,0.950647205,12641.3753,2610.29565,-11000.8118,-2026.31733,-1616.88973
0.800823333,88.18333333,36.79,2.749166667,1.225833333,0.90412034,13862.1503,2789.72842,-11465.854,-2012.41548,-2580.30995
0.82587,104.8433333,36.35,2.9175,1.3225,0.928830992,14763.7511,2954.14269,-11941.8514,-2101.28018,-3074.21608
0.920076667,58.36333333,35.61,2.715833333,2.464166667,0.99910185,12729.3057,4017.63608,-11220.2797,-3204.50884,-1719.92978
0.897023333,97.23666667,32.03,2.119166667,0.964166667,0.998008138,12140.8365,2596.65599,-9420.07173,-1779.06424,-2912.49502
0.869116667,100.0833333,57.35,2.425833333,0.6875,0.971054994,12776.6112,2358.33368,-10384.8444,-1534.77284,-2600.23068
0.891476667,50.75666667,31.77,0.879166667,2.285833333,0.992666088,7274.34085,3519.27678,-5679.52736,-2965.56359,-1525.04902
0.854383333,59.67,40.73,1.870833333,1.829166667,0.956732435,10424.5413,3169.80996,-8719.14922,-2554.00411,-1711.53302
0.89685,109.09,59.69,0.775833333,2.2275,0.997833852,7922.18545,3788.6119,-5363.35261,-2915.93641,-2806.06264
0.82899,48.14333333,53.87,1.320833333,1.010833333,0.931895697,8422.36747,2349.19796,-7071.83657,-1815.63829,-1282.44993
0.921636667,43.85,58.41,1.1075,1.6225,0.998426986,7436.47685,3091.59625,-6364.43119,-2423.81616,-1137.3518
0.885583333,107.83,55.55,0.670833333,1.5775,0.986978332,7651.42791,3196.9,-5053.94095,-2330.67485,-2842.82767
0.909416667,107.41,38.27,1.164166667,2.134166667,0.99997733,9213.65819,3944.57844,-6534.11607,-2898.86936,-3120.76296
0.90543,78.61666667,35.15,0.7725,0.605833333,0.999882417,7461.43911,2299.19395,-5351.7052,-1483.58991,-2316.49656
0.825263333,87.67,36.63,2.5525,2.905833333,0.928234688,13223.0845,4303.10335,-10830.0566,-3526.27308,-2569.59303
0.910543333,68.39666667,39.79,1.235833333,2.574166667,0.999796786,8513.49393,4118.49344,-6750.65464,-3305.62895,-1972.00788
0.84225,61.67666667,44.25,2.864166667,1.694166667,0.944889253,13466.8903,3061.22863,-11754.4429,-2432.35473,-1735.65907
0.908203333,47.67666667,44.71,2.0075,2.9275,0.998388692,10397.9635,4256.55871,-9082.34732,-3629.70365,-1338.72689
0.92935,67.69666667,39.31,2.305833333,2.679166667,0.999692361,11576.4794,4355.65123,-9981.41256,-3388.62591,-1956.93827
0.87527,78.52333333,39.57,2.650833333,0.724166667,0.977017907,13212.0583,2285.98788,-11057.9497,-1561.36595,-2261.51371
0.92753,53.79,44.49,1.459166667,2.499166667,0.999385535,8734.46748,4033.22005,-7425.38828,-3225.55761,-1512.2151
0.805156667,41.93666667,42.89,1.159166667,2.479166667,0.908408979,7898.20277,3625.01596,-6599.52897,-3139.77709,-1189.23383
0.808536667,61.02333333,50.91,2.724166667,2.729166667,0.911750416,13003.1263,3990.85679,-11377.9754,-3365.86386,-1654.66815
0.84797,81.37,34.05,2.674166667,2.390833333,0.950477968,13447.8856,3805.87494,-11168.2405,-3061.51756,-2416.59232
0.88333,78.80333333,35.75,2.384166667,1.595833333,0.984811388,12448.8406,3074.68508,-10239.3022,-2344.67875,-2319.46043
0.915483333,56.21666667,45.17,2.554166667,2.930833333,0.999005227,12149.1852,4398.63662,-10732.2729,-3639.14026,-1574.53794
0.819456667,105.87,34.95,1.619166667,0.9425,0.922521541,10858.9533,2615.11938,-7990.71021,-1761.53726,-3122.94858
0.867556667,105.2633333,36.49,1.2725,1.900833333,0.969540541,9733.99307,3477.82756,-6890.12906,-2621.44044,-3086.13844
0.806803333,75.72333333,33.97,2.0325,0.5075,0.910037317,11397.9975,2073.56434,-9266.89966,-1369.07936,-2240.11022
0.84355,50.01,51.43,0.8825,1.0975,0.946159266,7135.34859,2441.46502,-5725.44937,-1893.83539,-1351.3429
